unit,tra_meas,airp_pr,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
PAS,PAS_CRD,NO_ENKR_NO_ENVD,31876,32345,30753,28336,33100,32758,32401,33217,29101,26675,24708,20809,24749,25322,25679,:,:,:
PAS,PAS_CRD,NO_ENLK_NO_ENBO,101549,93314,:,:,:,:,:,:,84236,86680,82988,65488,76286,74448,77835,:,:,:
PAS,PAS_CRD,NO_ENML_NO_ENBR,51713,60754,64718,63668,61544,55828,55244,58168,61300,67125,69773,47874,49766,50437,51594,:,:,:
PAS,PAS_CRD,NO_ENML_NO_ENGM,371254,370845,361097,342023,341775,334750,299519,252560,238951,271160,286662,223378,226710,214001,193581,:,:,:
PAS,PAS_CRD,NO_ENML_NO_ENVA,:,:,:,:,:,:,:,21125,22967,25899,28913,24030,24758,23888,24149,:,:,:
PAS,PAS_CRD,NO_ENML_PL_EPGD,27291,20112,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENMS_NO_ENBO,:,:,:,:,:,:,:,:,17412,19129,:,:,:,18983,17485,:,:,:
PAS,PAS_CRD,NO_ENMS_NO_ENRA,12818,11914,:,:,:,:,:,:,12392,11672,:,:,:,14420,12438,:,:,:
PAS,PAS_CRD,NO_ENMS_NO_ENVA,34238,34879,:,:,:,:,:,:,43982,46253,:,:,:,41292,43063,:,:,:
PAS,PAS_CRD,NO_ENOV_NO_ENBR,13760,14658,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENOV_NO_ENGM,79020,87496,:,:,:,:,:,:,60477,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENOV_NO_ENSG,:,:,:,:,:,:,:,:,16789,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRA_NO_ENBO,47731,46809,:,:,:,:,:,:,43587,44550,40706,33193,34922,37228,38222,:,:,:
PAS,PAS_CRD,NO_ENRA_NO_ENMS,18555,17495,:,:,:,:,:,:,12392,11672,11505,10504,12042,14420,12438,:,:,:
PAS,PAS_CRD,NO_ENRA_NO_ENVA,30956,29338,:,:,:,:,:,:,48846,47052,43335,37257,41828,45813,44011,:,:,:
PAS,PAS_CRD,NO_ENRY_BE_EBCI,33370,42911,50791,57986,65506,73659,64338,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_CZ_LKPR,:,:,:,:,:,:,:,20664,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_DE_EDDB,:,:,48362,51655,59332,71589,55228,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_DE_EDFH,:,:,:,27822,29305,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_DE_EDJA,:,:,:,:,:,22916,31076,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_DE_EDLV,:,:,:,:,:,:,34141,:,:,:,:,:,:,:,:,:,:,:
